Component Description,QTY,Ref Des,Mfg P/N #,Manufacturer,Package
CAP ALUM POLYMR 82UF 20% 25V SMD,2,"C1,C2",APXJ250ARA820MF80G,United Chemi-Con,6.3mm SM Can
CAP CER 0.1UF 50V X7R 0805,60,"C10,C101,C102,C103,C104,C11,C110,C111,C114,C115,C123,C126,C13,C14,C18,C19,C21,C22,C26,C28,C29,C30,C32,C33,C34,C35,C36,C38,C39,C40,C41,C45,C46,C47,C48,C51,C52,C53,C54,C55,C56,C60,C61,C62,C64,C65,C72,C73,C76,C8,C84,C85,C86,C87,C88,C89,C9,C96,C97,C99",08055C104KAT2A,KYOCERA AVX,0805
not populated!,33,"C100,C106,C107,C108,C109,C127,C57,C92,C93,C94,D10,J11,J13,J14,J17,J18,J8,R105,R129,R156,R175,R176,R22,R6,R89,R89,R92,RS1,RS2,RS3,RT1,RT2,RT3", , ,0
CAP CER 1UF 50V X7R 0805,15,"C105,C12,C124,C128,C129,C15,C16,C20,C23,C24,C31,C50,C74,C80,C98",CL21B105KBFNFNE,Samsung Electro-Mechanics,0805
CAP CER 4700PF 100V X7R 0805,2,"C116,C63",885012207120,Würth Elektronik,0805
CAP CER SMD 0805 .01UF 100V X7R,4,"C117,C49,C75,C90",C0805C103K1RAC7210,KEMET,0805
CAP CER 0.022UF 100V X7R 0805,1,C118,CC0805KRX7R0BB223,YAGEO,0805
CAP CER 0.047UF 100V X7R 0805,1,C119,CL21B473KCFNNNE,Samsung Electro-Mechanics,0805
CAP CER 200PF 50V NPO 0805,3,"C122,C68,C69",CC0805JRNPO9BN201,YAGEO,0805
CAP TANT 10UF 20% 16V 1411,6,"C125,C17,C25,C27,C3,C37",TPSB106M016R0800,KYOCERA AVX,1411
CAP ALUM 15UF 20% 50V SMD,1,C4,865080643007,Würth Elektronik,6.3mm SM Can
CAP CER 6800PF 50V X7R 0805,4,"C42,C43,C44,C77",08055C682KAT2A,KYOCERA AVX,0805
CAP CER 0.33UF 50V X7R 0805,3,"C5,C6,C7",CL21B334KBFNFNE,Samsung Electro-Mechanics,0805
CAP CER 10PF 50V C0G/NP0 0805,2,"C58,C59",C0805C100K5GAC7800,KEMET,0805
CAP CER 100PF 100V C0G/NP0 0805,2,"C66,C67",CL21C101JCANNNC,Samsung Electro-Mechanics,0805
CAP CER 1500PF 50V C0G/NP0 0805,2,"C70,C71",C0805C152J5GAC7800,KEMET,0805
CAP ALUM POLY 100UF 20% 63V SMD,1,C78,APD1012101M063R,KYOCERA AVX,10mm SM Can
CAP ALUM 470UF 20% 25V SMD,1,C79,EEE-FT1E471GP,Panasonic Electronic Components,8mm SM Can
CAP TANT 10UF 10% 25V 1411,2,"C81,C82",TAJB106K025TNJ,KYOCERA AVX,1411
CAP CER 4.7PF 50V C0G/NP0 0805,2,"C91,C95",VJ0805A4R7BXACW1BC,Vishay Vitramon,0805
DIODE ZENER 30V 1W PMDS,2,"D1,D16",PTZTE2530A,Rohm Semiconductor,SOD-106-2
DIODE SCHOTTKY 30V 200MA SOD323,8,"D12,D13,D17,D27,D28,D34,D36,D38",BAT54WS-TP,Micro Commercial Co,SOD-323
DIODE ARR GEN PUR 80V 215MA SSD3,4,"D18,D19,D3,D4",BAV199HMT116,Rohm Semiconductor,SOT-23-3
DIODE GEN PURP 200V 2A DO214AA,3,"D2,D31,D32",ES2D,onsemi,DO-214AA
DIODE ARRAY SCHOTTKY 40V SOT23-3,3,"D20,D21,D33",BAS40-04-7-F,Diodes Incorporated,SOT-23-3
DIODE ZENER 5.6V 500MW SOD123,4,"D22,D23,D35,D37",BZT52C5V6-TP,Micro Commercial Co,SOD-123
"SOD-323, SWITCHING",3,"D24,D25,D26",BAS116WS-AU_R1_000A1,Panjit International Inc.,SOD-323
DIODE ZENER 16V 1W SOD123FL,6,"D29,D30,D5,D6,D7,D8",DFLZ16-TP,Micro Commercial Co,SOD-123FL
FUSEHOLDER BLOCKS - PCB - CLIP C,2,"FS1_A,FS4_A",696101000002,Würth Elektronik,TH 2p 22.6mm
FUSE CERAMIC 500MA 250VAC 5X20MM,1,FS1_B,5HF 500-R,Bel Fuse Inc.,20x5mm
FUSE CERAMIC 500MA 250VAC 5X20MM,1,FS4_B,BK/S501-500-R,Eaton - Electronics Division,20x5mm
"2 Position Terminal Block Header, Male Pins, Shrouded (4 Side) 0.200"" (5.08mm) 90°, Right Angle - Through Hole",2,"J10_A,J1_A",TBP01R1-508-02BE,CUI Devices,TH 2pin 5.08mm
"2 Position Terminal Block Plug, Female Sockets 0.200"" (5.08mm) - 180° Free Hanging (In-Line)",2,"J10_B,J1_B",TBP01P1-508-02BE,CUI Devices,TH 2pin 5.08mm Plug
"3 Position Terminal Block Header, Male Pins, Shrouded (4 Side) 0.200"" (5.08mm) 90°, Right Angle - Through Hole",1,J12_A,TBP01R1-508-03BE,CUI Devices,TH 3pin 5.08mm
TERM BLOCK HDR 2POS 90DEG 3.5MM,2,"J13_A,J15_A",284512-2,TE Connectivity,TH 2pin 3.5mm
TERM BLOCK PLUG 2POS STR 3.5MM,2,"J13_B,J15_B",284506-2,TE Connectivity AMP Connectors,TH 2pin 3.5mm Plug
NTC Thermistors NTC Thermistor M 703/10 K/A 18 2%,1,J16,B57703M0103A018,EPCOS / TDK,TH 2p wire
"Connector Header Through Hole 10 position 0.100"" (2.54mm)",1,J2,10129381-910002BLF,Amphenol ICC (FCI),TH 2x5pin 2.54mm
"Pluggable Terminal Blocks PTSM 0,5/ 4-HH-2,5 THR R32 ",2,"J3_A,J5_A",1778641,Phoenix Contact,TH 4pin 2.5mm
"Pluggable Terminal Blocks PTSM 0,5/ 4-P-2,5 ",2,"J3_B,J5_B",1778858,Phoenix Contact,TH 4pin 2.5mm Plug
CONN HEADER VERT 6POS 2.54MM,1,J4,10129381-906001BLF,Amphenol ICC (FCI),TH 2x3pin 2.5mm
"PIN HEADER, THR, DUAL ROW, 1.27",1,J6,PR20B05VBDN,METZ CONNECT USA Inc.,TH 2x5pin 1.27mm
"Connector Header Through Hole 4 position 0.100"" (2.54mm)",1,J7,47053-3000,Molex,SIL 4pin 2.54mm
TERM BLOCK HDR 3POS 90DEG 3.5MM,1,J9_A,0395021003,Molex,TH 3pin 3.5mm
TERM BLOCK PLUG 3POS STR 3.5MM,1,J9_B,0395000003,Molex,TH 3pin 3.5mm Plug
FERRITE BEAD 1 KOHM 1206 1LN,2,"L4,L5",BLM31KN102SN1L,Murata Electronics,1206
FIXED IND 12UH 2A 125 MOHM SMD,1,L6,SRR4828A-120M,Bourns Inc.,1919
FIXED IND 100UH 700MA 600MOHM SM,3,"L7,L8,L9",SRR4828A-101M,Bourns Inc.,1919
LED GREEN CLEAR 0805 SMD,1,LED1,150080GS75000,Würth Elektronik,0805
LED YELLOW CLEAR 0805 SMD,1,LED2,5988150107F,Dialight,0805
LED RED CLEAR 0805 SMD,1,LED3,150080RS75000,Würth Elektronik,0805
THERMISTOR NTC 10KOHM 3940K 0805,1,NTC1,NTCS0805E3103JHT,Vishay Beyschlag/Draloric/BC Components,0805
RES 200K OHM 1% 1/8W 0805,5,"R1,R2,R3,R4,R5",RC0805FR-07200KL,YAGEO,0805
RES 100 OHM 1% 1/8W 0805,28,"R10,R11,R112,R115,R116,R12,R13,R130,R14,R165,R166,R167,R168,R27,R28,R32,R33,R34,R35,R36,R37,R42,R43,R60,R61,R70,R74,R93",RC0805FR-07100RL,YAGEO,0805
RES 4.99K OHM 1% 1/8W 0805,11,"R100,R106,R107,R108,R136,R155,R171,R64,R65,R66,R67",AC0805FR-074K99L,YAGEO,0805
RES 10K OHM 1% 1/8W 0805,12,"R101,R102,R103,R110,R111,R137,R21,R71,R96,R97,R98,R99",RC0805FR-0710KL,YAGEO,0805
RES 2.49K OHM 1% 1/8W 0805,2,"R104,R72",RC0805FR-072K49L,YAGEO,0805
RES 20K OHM 1% 1/8W 0805,4,"R109,R138,R169,R170",RC0805FR-0720KL,YAGEO,0805
RES 3K OHM 1% 1/8W 0805,4,"R113,R135,R49,R73",RMCF0805FT3K00,Stackpole Electronics Inc,0805
RES 1K OHM 1% 1/8W 0805,30,"R114,R117,R131,R132,R141,R142,R143,R144,R24,R25,R26,R29,R30,R31,R38,R39,R40,R41,R46,R47,R51,R53,R54,R55,R56,R57,R62,R63,R87,R90",RC0805FR-071KL,YAGEO,0805
RES 49.9K OHM 1% 1/8W 0805,13,"R118,R119,R133,R134,R157,R158,R161,R162,R163,R164,R7,R8,R9",AC0805FR-0749K9L,YAGEO,0805
RES 10K OHM 0.1% 1/8W 0805,2,"R120,R121",RN73R2ATTD1002B25,"KOA Speer Electronics, Inc.",0805
RES 11.5K OHM 1% 1/8W 0805,6,"R122,R123,R79,R80,R81,R82",RC0805FR-0711K5L,YAGEO,0805
RES 470 OHM 1% 1/8W 0805,14,"R124,R125,R126,R127,R128,R139,R140,R159,R160,R23,R75,R76,R77,R91",RC0805FR-07470RL,YAGEO,0805
RES 1 OHM 1% 1/4W 1206,6,"R145,R146,R147,R148,R44,R45",RMCF1206FT1R00,Stackpole Electronics Inc,1206
RES 20 KOHMS 0.1% 0.4W 1206,5,"R149,R150,R151,R152,R153",RQ73C2B20KBTD,TE Connectivity Passive Product,1206
RES 4.12 KOHMS 0.1% 1/5W 0805,1,R15,RQ73C2A4K12BTD,TE Connectivity Passive Product,0805
RES 20 OHM 1% 1/8W 0805,2,"R154,R78",RC0805FR-0720RL,YAGEO,0805
RES 15.4 KOHMS 0.1% 1/5W 0805,1,R16,RQ73C2A15K4BTD,TE Connectivity Passive Product,0805
RES 68.1 KOHMS 0.1% 1/5W 0805,1,R17,RQ73C2A68K1BTD,TE Connectivity Passive Product,0805
RES 100K OHM 1% 1/4W 1206,5,"R172,R173,R19,R20,R94",RMCF1206FT100K,Stackpole Electronics Inc,1206
RES SMD 1M OHM 0.1% 1/4W 1206,1,R18,RP73D2B1M0BTDF,TE Connectivity Passive Product,1206
RES 100K OHM 1% 1/8W 0805,4,"R48,R50,R52,R95",RC0805FR-13100KL,YAGEO,0805
RES 976 OHMS 0.1% 1/5W 0805,1,R58,RQ73C2A976RBTD,TE Connectivity Passive Product,0805
RES 324 OHMS 0.1% 1/5W 0805,1,R59,RQ73C2A324RBTD,TE Connectivity Passive Product,0805
RES 68K OHM 1% 1/8W 0805,2,"R68,R69",RC0805FR-1368KL,YAGEO,0805
RES 560 OHM 1% 1/8W 0805,2,"R83,R84",RC0805FR-07560RL,YAGEO,0805
RES 100 KOHMS 0.1% 1/5W 0805,1,R85,RN73C2A100KBTD,TE Connectivity Passive Product,0805
RES 1 KOHMS 0.1% 1/5W 0805,1,R86,RQ73C2A1K0BTD,TE Connectivity Passive Product,0805
0805 35 AMP JUMPER,1,R88,JR0805X35E,Ohmite,0805
"220mΩ, 2512 (6432M) SMD Resistor ±1% 3 W @ 95°C",1,RS4,VMS-R220-1.0-U,Isabellenhutte,2512
CPF 1206 2R26 0.1% 25PPM 1K RL,1,RS5,CPF1206B2R26E1,TE Connectivity Passive Product,1206
RES 22.6 OHMS 0.1% 0.4W 1206,1,RS6,RQ73C2B22R6BTD,TE Connectivity Passive Product,1206
Telecom Relay DPDT (2 Form C) Through Hole,4,"SW1,SW2,SW3,SW4",6-1462037-6,TE Connectivity Potter & Brumfield Relays,TH
MOSFET N-CH 600V 23A TO220,1,T1_A,FCP165N60E,onsemi,TO-220
"HEATSINK TO-220,TO-218,TO-247",1,T1_B,RA-T2X-38E,Ohmite,0
MOSFET 150V Vds 20V Vgs SO-8,3,"T2,T3,T7",SI4848DY-T1-E3,Vishay Semiconductors,SOIC-8
MOSFET N-CH 60V 55A TO220-3,1,T4_A,FDPF55N06,onsemi,TO-220
"Thermal Insulator, Insulating Kit, Mica, TO-220, Mica, 1 kV, 0.1 mm",1,T4_B,MK3306/TG,MULTICOMP,0
"Heat Sinks Wave-Solder, Heat Sink, TO220, 14.5x12.7x19.1mm, Vertical/Horizontal, No Tab ",2,"T4_C,VR2_B",230-75AB,Wakefield-Vette,TO-220
MOSFET N-CH 30V 350MA SOT23,2,"T5,T6",DMN63D8L-7,Diodes Incorporated,SOT-23
MOSFET P-CH 20V 3.1A SOT23,1,T9,DMP2170U-7,Diodes Incorporated,SOT-23
IC MCU 8BIT 128KB FLASH 44TQFP,1,U1,ATMEGA1284-AUR,Microchip Technology,TQFP-44
IC GATE DRVR LOW-SIDE 8SOIC,2,"U10,U11",MIC4127YME-TR,Microchip Technology,SOIC-8
IC OPAMP GP 2 CIRCUIT 8SOIC,6,"U12,U19,U23,U24,U25,U28",OP2177ARZ  ,Analog Devices Inc.,SOIC-8
IC FF D-TYPE SNGL 1BIT SOT23-6,1,U13,SN74LVC1G175DBVT,Texas Instruments,SOT-23-6
Bipolar Motor Driver Power MOSFET - TSOT-23-6,4,"U14,U15,U31,U32",MP6513GJ-P,Monolithic Power Systems Inc.,TSOT23-6
IC I/O EXPANDER I2C 16B 24SOIC,1,U16,"PCA9555D,118",NXP,WSOIC-24
IC MUX CMOS SINGLE 8CH 16-SOIC,1,U17,DG408LEDY-T1-GE3,Vishay Siliconix,SOIC-16
IC OPAMP GP 1 CIRCUIT 8SOIC,2,"U18,U20",OP1177ARZ-REEL7,Analog Devices Inc.,SOIC-8
ISO RS485/422 0.2MBPS 2.5KVRMS,1,U2,ISO3082DWR,Texas Instruments,WSOIC-16
"Multiplexer Switch ICs 36V, Low-Capacitance Analog Multiplexer",2,"U21,U30",MUX508IDR,Texas Instruments,SOIC-16
IC SWITCH SPDT 8SOIC,1,U26,MAX4659ESA+T,Maxim Integrated,SOIC-8
IC VREF SERIES 0.1% 8SOIC 4.096V,1,U27,MCP1501T-40E/SN,Microchip Technology,SOIC-8
16 Bit Digital to Analog Converter 1 8-VSSOP,1,U3,DAC8550IBDGKT,Texas Instruments,VSSOP-8
"Analog to Digital Converters - ADC 16-Bit, 500ksps/250ksps Serial ADCs in Tiny 10-Pin Packages",1,U4,MAX11163EUB+T,Maxim Integrated,umax-10
IC VREF SERIES 0.12% 8SOIC 4.096V,1,U5,REF198FSZ-REEL,Analog Devices Inc.,SOIC-8
IC INST AMP 1 CIRCUIT 8SOIC,2,"U6,U8",AD8221ARZ-R7,Analog Devices Inc.,SOIC-8
IC MUX CMOS DUAL 4CH 16-SOIC,1,U9,DG409LEDY-T1-GE3,Vishay Semiconductors,SOIC-16
IC REG LINEAR 5V 100MA 8SO,1,VR1,L78L05CD13TR,STMicroelectronics,SOIC-8
Linear Voltage Regulators Precision 1.5A Reg 5V Output Dual Gauge,1,VR2_A,L7805ACV-DG,STMicroelectronics,TO-220
IC REG LINEAR -5V 100MA 8SO,1,VR3,L79L05ACD13TR,STMicroelectronics,SOIC-8
DC DC CONVERTER +/-15V 3W,1,VR4,TMR 3-2423WI,Traco Power,TH
DC DC CONVERTER 3.3V 3W,1,VR5,TMR 3-2410WI,XP Power,TH
"Crystal, 16 MHz, SMD, 3.2mm x 2.5mm, 10 ppm, 9 pF, 10 ppm, ABM8 Series",1,XTAL1,ABM8-16.000MHZ-9-B1U-T,ABRACON,SMD 3.2mm x 2.5mm
